DISTRICT,STATE,COMPANY NAME,ASSETS (MILLIONS),LIABILITIES (MILLIONS),Latitude,Longitude
MD,FL,"A21, Inc.",25.2,30.3,25.8312739,-80.18401589999999
D,DE,Abitibibowater Inc.,9937.0,2213.0,,
MD,FL,"Accentia Biopharmaceuticals, Inc.",134.9,77.6,27.9405497,-82.4632252
D,DE,Accredited Home Lenders Holding Co.,799.5,490.7,40.7510316,-73.98617089999999
SD,NY,Apex Silver Mines LTD,721.3,930.9,40.7487097,-73.9856555
D,DE,"Applied Solar, Inc.",17.6,29.1,41.645357,-74.381663
ND,CA,"Asyst Technologies, Inc.",295.8,315.4,33.683038,-117.8685495
ND,GA,"Atherogenics, Inc.",72.0,40.0,33.9618862,-84.19967470000002
WD,MI,"Aurora Oil Gas Corp., et al.",103.7,134.4,29.757125,-95.3679911
SD,TX,Ausam Energy Corp. et al.,56.3,24.3,,
D,DE,"Aventine Renewable Energy Holdings, Inc.",799.5,490.7,39.6898913,-75.7777792
ND,CA,"Aviza Technology, Inc.",2.6,38.3,37.0508564,-122.0287695
SD,FL,BankUnited Financial Corporation,37.7,559.7,25.9086597,-80.3278054
D,DE,Barzel Industries Inc.,365.8,384.6,40.0569475,-74.1773098
HU,TX,Baseline Oil & Gas,80.1,138.9,34.063463,-117.782102
D,DE,"Basin Water, Inc.",50.6,14.2,40.26038339999999,-74.8333261
ND,OH,BPI Energy Holdings Inc.,27.0,15.0,41.2828052,-81.6442199
D,KA,Brooke Corporation,512.9,447.4,40.750384,-73.9784107
D,DE,Building Material Holding Corp.,480.1,481.3,40.86870740000001,-73.85883690000001
D,DE,"Butler International, Inc.",96.4,75.5,41.2682885,-73.1310634
SD,TX,"Capco Energy, Inc. et al.",35.5,17.1,29.7616582,-95.36424129999999
ED,NC,Cape Fear Bank Corporation,1.2,10.4,,
ED,CA,Capitol Corp. of the West,6.8,68.0,38.5981678,-121.4457543
ND,GA,"Caraustar Industries, Inc.",366.0,376.8,33.816455,-84.6480535
ND,TX,"Cardinal Communications, Inc.",0.35,4.4,29.7146511,-95.31162069999999
SD,NY,Charter Communications Corp.,13881.0,24185.0,40.7370697,-73.9495752
SD,NY,Chemtura Corp.,1587.5,3507.4,40.5389463,-74.27717969999999
ED,VA,Chesapeake Corporation,936.6,937.1,37.5536022,-77.5068982
SD,NY,"Chrysler, LLC., et al.",39300.0,55200.0,40.76475749999999,-73.99517449999999
ED,WI,"CIB Maine Bancshares, Inc.",104.8,107.2,43.0365889,-88.0704785
ED,VA,"Circuit City Stores, Inc.",3400.1,2323.3,38.8690238,-77.2614924
ND,CA,"CMR Mortgage Fund II, LLC",45.3,22.0,34.0460667,-117.80535
D,DE,Constar International Inc.,420.0,538.0,40.1409484,-74.9622566
ND,TX,"Crusader Energy Group, Inc., et al.",750.0,325.8,,
D,DE,Dayton Superior Corp.,288.7,405.9,40.5945281,-75.6203536
SD,FL,DNC Multimedia Corporation,1.1,1.2,,
D,DE,"Electroglas, Inc.",19.6,31.5,40.201511,-79.49540290000002
SD,TX,"Energy Partners, Ltd., et al.",770.4,708.4,29.7331253,-95.4180696
